title,link,image_url,rating,reviews,address,opening_hours,latitude,longitude,kategori,aktivitas,deskripsi,kecamatan,biaya_masuk,biaya_parkir_motor,biaya_parkir_mobil,tags_joined
Hill of Gibeon,https://www.google.com/maps/place/Hill+of+Gibeon/data=!4m7!3m6!1s0x3031eff6c71c6fd7:0x56ef2b4447dda14!8m2!3d2.5908281!4d98.9978528!16s%2Fg%2F11d_8bbvln!19sChIJ128cx_bvMTARFNp9RLTybgU?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1AVbEcOF3C6OYFdUuVEGmqxND139lcbXr?usp=sharing,4.5,457,"Kabupaten Toba Samosir, 21174, Sionggang Utara, Kec. Lumban Julu, Toba, Sumatera Utara 21174",Open 24 hours,2.590897766146822,98.9978849865071,Alam,"Aktivitas Air, Berenang, Pemandangan, Santai, Fotografi","Terletak di Kabupaten Toba, Sumatera Utara, Bukit Gibeon menawarkan perpaduan wisata alam dan rohani dengan pemandangan perbukitan yang hijau dan udara yang sejuk di area Sionggang Utara, Lumban Julu. Daya tarik utamanya meliputi panorama alam yang indah, serta adanya air terjun yang mengalir langsung ke kolam renang alami, menjadikannya tempat yang menarik untuk relaksasi dan menikmati keindahan alam sekitar Danau Toba.",Lumban Julu,10000,2000,5000,aktivitas air berenang pemandangan santai fotografi alam letak kabupaten toba sumatera utara bukit gibeon tawar padu wisata alam rohani pandang bukit hijau udara sejuk area sionggang utara lumban julu daya tarik utama liput panorama alam indah air terjun alir langsung kolam renang alami jadi tarik relaksasi nikmat indah alam danau toba
Situmurun Waterfall,https://www.google.com/maps/place/Situmurun+Waterfall/data=!4m7!3m6!1s0x3031e4cdf02698d9:0x4e813a548e5424a9!8m2!3d2.5374301!4d99.0079819!16s%2Fg%2F11cms94bnf!19sChIJ2Zgm8M3kMTARqSRUjlQ6gU4?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1d313bF4irICAF4qkDfolSjoxaIZcIpsD?usp=sharing,4.6,553,"Jonggi Nihuta, Hatinggian, Kec. Lumban Julu, Toba, Sumatera Utara 22386",Open 07.00-17.00,2.53756407894762,99.00797117116431,Bahari,"Perahu, Berenang, Pemandangan, Fotografi","Air Terjun Situmurun, yang berlokasi di Jonggi Nihuta, dekat Hatinggian, Kabupaten Toba, adalah destinasi alam yang unik karena aliran airnya langsung jatuh ke Danau Toba. Dikenal juga sebagai Air Terjun Binangalom, pesona utamanya terletak pada pemandangan air terjun bertingkat yang dramatis yang bisa dinikmati, seringkali dengan akses menggunakan perahu dari danau, serta kesempatan untuk beraktivitas di perairan di sekitarnya.",Lumban Julu,0,0,0,perahu berenang pemandangan fotografi bahari air terjun situmurun lokasi jonggi nihuta hatinggian kabupaten toba destinasi alam unik alir air langsung jatuh danau toba kenal air terjun binangalom pesona utama letak pandang air terjun tingkat dramatis nikmat seringkali akses perahu danau sempat aktivitas air
Danau Toba Parapat,https://www.google.com/maps/place/Danau+Toba+Parapat/data=!4m7!3m6!1s0x3031ec0aec8857d1:0x64c153b8e68294d4!8m2!3d2.68382!4d98.926076!16s%2Fg%2F11ckr980kr!19sChIJ0VeI7ArsMTAR1JSC5rhTwWQ?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1DCKxmvpkrMteMbgQPeQpk98PS2HCbobi?usp=sharing,4.7,512,"Jl. Siborongborong - Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 24 hours,2.683975397473159,98.9260867288357,Bahari,"Perahu, Berenang, Jet Ski, Banana Boat, Kayak, Pemandangan, Santai, Fotografi","Danau Toba di area Parapat adalah bagian dari danau vulkanik terbesar di dunia yang menawarkan panorama alam luar biasa dengan latar perbukitan hijau dan udara sejuk. Sebagai salah satu pintu gerbang utama menuju Danau Toba dan Pulau Samosir, Parapat menyediakan berbagai fasilitas dan titik pandang ideal untuk menikmati keindahan danau yang membentang luas, serta menjadi lokasi strategis untuk memulai eksplorasi ke berbagai destinasi menarik di sekitarnya melalui aktivitas perairan dan menikmati suasana tepi danau.",Girsang Sipangan Bolon,0,0,0,perahu berenang jet ski banana boat kayak pemandangan santai fotografi bahari danau toba area parapat danau vulkanik besar dunia tawar panorama alam latar bukit hijau udara sejuk salah pintu gerbang utama danau toba pulau samosir parapat sedia fasilitas titik pandang ideal nikmat indah danau bentang luas lokasi strategis eksplorasi destinasi tarik aktivitas air nikmat suasana tepi danau
Pantai Ikan Mas Tandarabun,https://www.google.com/maps/place/Pantai+Ikan+Mas+Tandarabun/data=!4m7!3m6!1s0x3031c7b013e36ff5:0xe1ea0142aa540fb0!8m2!3d2.7161063!4d98.6917194!16s%2Fg%2F11gf9krswg!19sChIJ9W_jE7DHMTARsA9UqkIB6uE?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1LmIQa4sVmJtK_jUd3QqieA-lTqIgGL2t?usp=sharing,4.6,612,"Dosroha, Simanindo, Kabupaten Samosir, Sumatera Utara",Open 08.00-16.00,2.7162831269066694,98.6917301288357,Bahari,"Berenang, Memancing, Perahu, Santai, Pemandangan","Pantai Ikan Mas Tandarabun adalah destinasi tersembunyi di Pulau Samosir, menawarkan keindahan pasir putih lembut dan air Danau Toba yang jernih. Tempat ini ideal untuk menikmati suasana pantai yang tenang, berenang, dan bersantai di tepi danau. Terdapat juga fasilitas pendukung dan spot foto menarik, menjadikannya pilihan tepat untuk rekreasi alam di tepian danau.",Simanindo,5000,5000,10000,berenang memancing perahu santai pemandangan bahari pantai ikan mas tandarabun destinasi sembunyi pulau samosir tawar indah pasir putih lembut air danau toba jernih ideal nikmat suasana pantai tenang renang santa tepi danau fasilitas dukung spot foto tarik jadi pilih rekreasi alam tepi danau
Bukit Burung,https://www.google.com/maps/place/Bukit+Burung/data=!4m7!3m6!1s0x3031cf7ece9fab7f:0xc7cbbe47e41a27f4!8m2!3d2.6316978!4d98.6549115!16s%2Fg%2F11df3ncssj!19sChIJf6ufzn7PMTAR9Cca5Ee-y8c?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1egIrSUJ6wiA_sChxBDHLI-hscPqWja-7?usp=drive_link,4.7,141,"Siboro, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara",Open 24 hours,2.6318853565923663,98.65489004232862,Alam,"Pemandangan, Trekking, Fauna, Santai, Fotografi","Terletak di Siboro, Kecamatan Sianjur Mula Mula, Kabupaten Samosir, Bukit Burung adalah destinasi natural tourism berupa perbukitan dengan padang savana yang luas. Tempat ini menawarkan pengalaman trekking ringan dengan udara segar dan menyuguhkan pemandangan spektakuler ke arah Danau Toba dan Pulau Tulas dari puncaknya. Sesuai namanya, bukit ini juga menjadi habitat bagi berbagai jenis burung, menjadikannya menarik bagi pengamat burung dan penggemar fotografi alam.",Sianjur Mula Mula,0,5000,5000,pemandangan trekking fauna santai fotografi alam letak siboro camat sianjur kabupaten samosir bukit burung destinasi natural tourism bukit padang savana luas tawar alam trekking ringan udara segar suguh pandang spektakuler arah danau toba pulau tulas puncak sesuai nama bukit habitat jenis burung jadi tarik amat burung gemar fotografi alam
Pantai Bebas Parapat Danau Toba,https://www.google.com/maps/place/Pantai+Bebas+Parapat+Danau+Toba/data=!4m7!3m6!1s0x3031ec1ce767b511:0x7a933989fde98bcc!8m2!3d2.6683978!4d98.9370427!16s%2Fg%2F11bv38pln4!19sChIJEbVn5xzsMTARzIvp_Yk5k3o?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1xM8H22gwvZ2X7PHuXtVLiyyNAqtcCH9q?usp=drive_link,4.5,168,"Danau Toba, Jl. Sisingamangaraja, Tiga Raja, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-16.00,2.668488896218976,98.9369997846572,Bahari,"Berenang, Santai, Pemandangan, Fotografi","Terletak di tepi Danau Toba di Parapat, Pantai Bebas adalah ruang terbuka publik yang menawarkan suasana pantai dengan pasir, area hijau, dan pemandangan luas ke arah danau, terutama saat matahari terbenam. Destinasi ini dilengkapi berbagai fasilitas untuk rekreasi, olahraga ringan seperti jogging dan skateboard, area bermain anak, serta menjadi lokasi yang populer untuk bersantai dan menikmati keindahan Danau Toba dari tepiannya.",Girsang Sipangan Bolon,0,2000,2000,berenang santai pemandangan fotografi bahari letak tepi danau toba parapat pantai bebas ruang buka publik tawar suasana pantai pasir area hijau pandang luas arah danau matahari benam destinasi lengkap fasilitas rekreasi olahraga ringan jogging skateboard area main anak lokasi populer santa nikmat indah danau toba tepi
Bukit Sibeabea,https://www.google.com/maps/place/Bukit+Sibeabea/data=!4m7!3m6!1s0x3031db06803ec9f5:0xc95cb1fb76492ad6!8m2!3d2.5506701!4d98.6735887!16s%2Fg%2F11rgg_wcd1!19sChIJ9ck-gAbbMTAR1ipJdvuxXMk?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1MX21o0JCneXuoj7XtD4IWVSihJElvX8W?usp=drive_link,4.6,873,"Turpuk Sihotang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22396",Open 08.00-16.00,2.5508147957771543,98.6735994288357,Alam,"Pemandangan, Fotografi, Santai, Hiking","Bukit Sibeabea di Kabupaten Samosir adalah destinasi wisata perbukitan yang terkenal dengan jalan berkelok modern yang indah dan pemandangan panoramik spektakuler ke arah Danau Toba dan perbukitan hijau di sekitarnya. Di puncaknya berdiri patung Yesus Kristus yang ikonik. Tempat ini menawarkan udara segar, spot menarik untuk berfoto, dan pengalaman menikmati keindahan alam dari ketinggian setelah menyusuri jalurnya yang unik.",Harian,0,30000,100000,pemandangan fotografi santai hiking alam bukit sibeabea kabupaten samosir destinasi wisata bukit kenal jalan kelok modern indah pandang panoramik spektakuler arah danau toba bukit hijau puncak diri patung yesus kristus ikonik tawar udara segar spot tarik foto alam nikmat indah alam tinggi susur jalur unik
Pantai Batuhoda,https://www.google.com/maps/place/Pantai+Batuhoda/data=!4m7!3m6!1s0x3031c715b0bed547:0x346964c80c83147!8m2!3d2.759845!4d98.725414!16s%2Fg%2F11rtsn0zhj!19sChIJR9W-sBXHMTARRzHIgEyWRgM?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/10otaZM9O8xIWVqqnxHT_MP017DogfICu?usp=drive_link,4.5,425,"JL. Raya, Cinta Dame, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 08.00-16.00,2.7600003876705523,98.7253925423286,Bahari,"Berenang, Memancing, Banana Boat, Santai, Camping, Pemandangan, Fotografi","Pantai Batuhoda di Desa Cinta Dame, Simanindo, Kabupaten Samosir, adalah ""surga tersembunyi"" di tepi Danau Toba yang mempesona dengan pasir putih lembut dan air danau yang jernih. Pantai ini menawarkan suasana tenang, cocok untuk bersantai sambil menikmati pemandangan Danau Toba yang indah. Selain keindahan alamnya, Pantai Batuhoda juga memiliki legenda unik terkait nama ""Batuhoda"" serta menyediakan fasilitas untuk berbagai aktivitas air dan rekreasi di tepi danau.",Simanindo,20000,0,0,berenang memancing banana boat santai camping pemandangan fotografi bahari pantai batuhoda desa cinta dame simanindo kabupaten samosir surga sembunyi tepi danau toba pesona pasir putih lembut air danau jernih pantai tawar suasana tenang cocok santa nikmat pandang danau toba indah indah alam pantai batuhoda milik legenda unik kait nama batuhoda sedia fasilitas aktivitas air rekreasi tepi danau
Gunung Pusuk Buhit,https://www.google.com/maps/place/Gunung+Pusuk+Buhit/data=!4m7!3m6!1s0x3031cf7595647c91:0x8e1aea7d8321e10f!8m2!3d2.6005483!4d98.6515671!16s%2Fg%2F11fk1rcfgj!19sChIJkXxklXXPMTARD-Ehg33qGo4?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1mphchpqSdvtRUn4wOSlb8JXn8irgKx2i?usp=drive_link,4.8,89,"Ginolat, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",Open 24 hours,2.600735861251648,98.65161001534281,Alam,"Hiking, Pemandangan, Trekking, Air Panas, Berendam","Gunung Pusuk Buhit di Sianjur Mula Mula, Kabupaten Samosir, adalah gunung berapi aktif yang memiliki makna mendalam sebagai asal-usul suku Batak. Destinasi wisata alam ini menawarkan pengalaman trekking dengan berbagai tingkat kesulitan menuju puncaknya, menyuguhkan panorama spektakuler Danau Toba dan keindahan alam Pulau Samosir dari ketinggian. Di lerengnya juga terdapat sumber air panas, menjadikannya tujuan menarik bagi petualang dan mereka yang mencari koneksi dengan alam dan budaya lokal.",Sianjur Mula Mula,10000,5000,10000,hiking pemandangan trekking air panas berendam alam gunung pusuk buhit sianjur kabupaten samosir gunung rap aktif milik makna dalam suku batak destinasi wisata alam tawar alam trekking tingkat sulit puncak suguh panorama spektakuler danau toba indah alam pulau samosir tinggi lereng sumber air panas jadi tuju tarik tualang cari koneksi alam budaya lokal
Aek Rangat,https://www.google.com/maps/place/Aek+Rangat/data=!4m7!3m6!1s0x3031db9325239f09:0xb4ecb7e34f9a528f!8m2!3d2.6186837!4d98.6755199!16s%2Fg%2F11fz7h1129!19sChIJCZ8jJZPbMTARj1KaT-O37LQ?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1Q47L7UfDCy7zc-xwUCBhSLftq2-e4Rj-?usp=drive_link,4.3,619,"Aek Rangat, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392",Open 24 hours,2.618871258545729,98.67558427301418,Bahari,"Air Panas, Berendam, Santai","Aek Rangat di Pangururan, Kabupaten Samosir, adalah pemandian air panas alami yang bersumber dari kaki Gunung Pusuk Buhit. Air panas yang mengandung belerang ini dialirkan ke dalam kolam-kolam berjenjang dengan suhu bervariasi, menawarkan sensasi berendam yang menenangkan dengan dipercaya memiliki khasiat terapeutik. Dikelilingi oleh panorama perbukitan dan udara segar, Aek Rangat menjadi tempat ideal untuk relaksasi dan melepas penat di tengah keindahan alam Samosir.",Pangururan,10000,0,0,air panas berendam santai bahari aek rangat pangururan kabupaten samosir mandi air panas alami sumber kaki gunung pusuk buhit air panas kandung belerang alir jenjang suhu variasi tawar sensasi rendam tenang percaya milik khasiat terapeutik keliling panorama bukit udara segar aek rangat ideal relaksasi lepas penat indah alam samosir
